Speeduino Pin #,Function,In use?,Molex pin #,Notes,wire colour loom,wire colour board -> molex,ignition req?
1,Injector 1 - Pin 1/2,1,1,,,,
2,Injector 2 - Pin 1/2,1,2,,,,
3,Injector 3 - Pin 1/2,0,,,,,
4,Injector 3 - Pin 2/2,0,,,,,
5,Injector 4 - Pin 1/2,0,,,,,
6,Injector 4 - Pin 2/2,0,,,,,
7,Ignition 1,1,3,,,purple,x
8,Ignition 4,0,,,,,
9,Ground,1,4,Shielding?,,brown,x
10,Ground,1,5,More Shielding?,,,
11,MAP Sensor (0v-5v),0,,"Using internal, no need",,,
12,Ground,1,6,CLT ground,black/yellow,black,x
13,5v,1,7,For TPS Vref,,,
14,Proto Area 1 (0.4.4b+ Flex Sensor),1,8,,,,
15,Proto Area 2 (0.4.4b+ Fan),1,9,12v sink,white/red,grey,x
16,Proto Area 3 (0.4.4b+ Fuel Pump),1,10,,,,
17,Proto Area 4 (0.4.4b+ Tachometer),0,,,,,
18,Proto Area 5 (0.4.4b+ Clutch),0,,,,,
19,Coolant (CLT),1,11,,green,white,x
20,Inlet Air Temp (IAT),1,12,,,,
21,O2 Sensor,1,13,May be wired directly to TinyWB anyway,,,
22,TPS input,1,14,,,,
23,Ground,1,15,For Hall ground,,black,x
24,Cam Input / VR2+,0,,,,,
25,Crank Input / VR1+,1,16,,,orange,x
26,VR2- (Not used for hall sensor),0,,,,,
27,VR1- (Not used for hall sensor),0,,,,,
28,5v,1,17,For Hall Vref,,red,x
29,Idle Stepper 2B,0,,,,,
30,Idle Stepper 2A,0,,,,,
31,Idle Stepper 1A,0,,,,,
32,Idle Stepper 1B,0,,,,,
33,Ignition 3,0,,,,,
34,Ignition 2,1,18,,,navy,x
35,Boost,0,,,,,
36,Idle 2 (For use with 3 wire idle valves),0,,,,,
37,PWM Idle,0,,,,,
38,VVT,0,,,,,
39,Injector 2 - Pin 2/2,1,19,,,,
40,Injector 1 - Pin 2/2,1,20,,,,
,,,,,,,
,ECU +12V,1,21,twisted,red,yellow,x
,ECU GND,1,22,twisted,black,black,x
,,,,,,,
,Total pins in use:,22,,,,,
